date, pm25, pm10, o3, no2, co
2019/2/12, 131, 107, 49, 82, 91
2019/2/13, 114, 92, 54, 76, 63
2019/2/14, 90, 74, 71, 70, 81
2019/2/15, 73, 72, 69, 65, 81
2019/2/16, 72, 92, 79, 65, 84
2019/2/17, 90, 90, 84, 63, 84
2019/2/18, 88, 100, 94, 68, 80
2019/2/19, 102, 114, 80, 74, 83
2019/2/20, 133, 81, 89, 70, 94
2019/2/21, 80, 78, 75, 69, 92
2019/2/22, 77, 90, 70, 66, 83
2019/2/23, 89, 83, 66, 60, 96
2019/2/24, 82, 78, 56, 52, 90
2019/2/25, 78, 73, 47, 49, 92
2019/2/26, 72, 81, 45, 47, 93
2019/2/27, 80, 77, 58, 47, 89
2019/2/28, 77, 71, 61, 48, 110
2019/3/1, 71, 109, 66, 65, 99
2019/3/2, 117, 76, 62, 51, 95
2019/3/3, 77, 47, 64, 43, 90
2019/3/4, 49, 69, 52, 41, 96
2019/3/5, 69, 75, 60, 40, 88
2019/3/6, 75, 71, 64, 43, 95
2019/3/7, 71, 74, 76, 47, 86
2019/3/8, 74, 90, 70, 48, 80
2019/3/9, 88, 102, 70, 46, 75
2019/3/10, 102, 89, 53, 42, 72
2019/3/11, 87, 92, 56, 43, 82
2019/3/12, 91, 86, 58, 44, 60
2019/3/13, 85, 76, 60, 42, 89
2019/3/14, 76, 81, 69, 43, 57
2019/3/15, 80, 94, 72, 49, 47
2019/3/16, 92, 79, 76, 47, 55
2019/3/17, 79, 71, 98, 43, 74
2019/3/18, 71, 82, 70, 45, 73
2019/3/19, 81, 80, 75, 43, 72
2019/3/20, 79, 72, 60, 40, 54
2019/3/21, 72, 57, 51, 37, 51
2019/3/22, 59, 62, 70, 41, 57
2019/3/23, 62, 87, 72, 45, 235
2019/3/24, 86, 105, 73, 48, 142
2019/3/25, 111, 101, 69, 48, 92
2019/3/26, 102, 89, 69, 47, 76
2019/3/27, 88, 78, 75, 44, 78
2019/3/28, 78, 83, 84, 46, 64
2019/3/29, 129, 87, 79, 47, 58
2019/3/30, 87, 85, 68, 43, 82
2019/3/31, 83, 72, 62, 39, 83
2018/10/1, 57, 55, 60, 28, 88
2018/10/2, 57, 49, 63, 28, 85
2018/10/3, 51, 48, 62, 27, 65
2018/10/4, 51, 48, 41, 27, 55
2018/10/5, 51, 63, 41, 27, 68
2018/10/6, 64, 78, 44, 28, 81
2018/10/7, 78, 75, 51, 29, 65
2018/10/8, 75, 79, 52, 27, 48
2018/10/9, 79, 88, 72, 26, 57
2018/10/10, 88, 97, 104, 28, 71
2018/10/11, 96, 90, 58, 33, 58
2018/10/12, 89, 86, 56, 30, 62
2018/10/13, 86, 88, 55, 28, 57
2018/10/14, 88, 89, 54, 28, 46
2018/10/15, 89, 96, 57, 43, 64
2018/10/16, 95, 91, 67, 92, 93
2018/10/17, 90, 70, 48, 97, 98
2018/10/18, 71, 42, 61, 21, 48
2018/10/19, 45, 44, 66, 21, 50
2018/10/20, 46, 60, 64, 21, 67
2018/10/21, 61, 73, 70, 26, 97
2018/10/22, 73, 74, 62, 41, 47
2018/10/23, 74, 74, 66, 45, 73
2018/10/24, 74, 83, 47, 28, 95
2018/10/25, 77, 97, 47, 30, 95
2018/10/26, 77, 100, 25, 28, 31
2018/10/27, 99, 101, 25, 28, 31
2018/10/28, 100, 80, 45, 27, 41
2018/10/29, 80, 74, 45, 27, 49
2018/10/30, 74, 93, 36, 27, 56
2018/10/31, 92, 94, 50, 26, 48
2018/11/1, 94, 82, 56, 15, 50
2018/11/2, 82, 81, 56, 10, 73
2018/11/3, 81, 62, 67, 10, 97
2018/11/4, 59, 46, 74, 10, 50
2018/11/5, 36, 42, 75, 89, 107
2018/11/6, 41, 76, 72, 90, 47
2018/11/7, 77, 118, 88, 89, 23
2018/11/8, 156, 87, 128, 87, 23
2018/11/9, 99, 71, 86, 87, 28
2018/11/10, 72, 71, 82, 88, 53
2018/11/11, 72, 79, 83, 90, 41
2018/11/12, 79, 82, 76, 94, 23
2018/11/13, 82, 78, 71, 96, 26
2018/11/14, 78, 89, 58, 99, 58
2018/11/15, 89, 95, 28, 98, 73
2018/11/16, 97, 100, 55, 97, 71
2018/11/17, 105, 95, 70, 95, 68
2018/11/18, 96, 86, 64, 92, 61
2018/11/19, 88, 68, 49, 93, 81
2018/11/20, 71, 58, 49, 97, 106
2018/11/21, 61, 69, 44, 98, 67
2018/11/22, 72, 76, 39, 101, 122
2018/11/23, 78, 91, 51, 103, 114
2018/11/24, 94, 94, 60, 102, 62
2018/11/25, 97, 98, 60, 99, 90
2018/11/26, 100, 98, 49, 102, 561
2018/11/27, 100, 127, 36, 102, 45
2018/11/28, 174, 130, 18, 87, 61
2018/11/29, 182, 123, 41, 82, 58
2018/11/30, 161, 119, 44, 72, 60
2018/12/1, 150, 113, 51, 66, 55
2018/12/2, 141, 112, 45, 65, 62
2018/12/3, 137, 103, 30, 68, 51
2018/12/4, 111, 104, 37, 86, 96
2018/12/5, 113, 117, 43, 95, 92
2018/12/6, 133, 113, 50, 97, 100
2018/12/7, 121, 108, 43, 104, 133
2018/12/8, 105, 102, 36, 109, 125
2018/12/9, 89, 88, 39, 95, 92
2018/12/10, 77, 117, 46, 98, 81
2018/12/11, 130, 118, 60, 99, 74
2018/12/12, 100, 115, 38, 89, 71
2018/12/13, 116, 125, 20, 94, 83
2018/12/14, 241, 112, 80, 107, 82
2018/12/15, 152, 119, 26, 108, 67
2018/12/16, 296, 128, 22, 106, 73
2018/12/17, 275, 148, 41, 109, 89
2018/12/18, 235, 101, 12, 106, 84
2018/12/19, 121, 59, 18, 104, 85
2018/12/20, 61, 1, 35, 105, 93
2018/12/21, 7, 1, 32, 94, 85
2018/12/22, 7, 1, 33, 100, 99
2018/12/23, 7, 52, 46, 99, 97
2018/12/24, 87, 121, 44, 95, 81
2018/12/25, 194, 98, 47, 90, 82
2018/12/26, 134, 88, 32, 90, 91
2018/12/27, 103, 105, 23, 101, 87
2018/12/28, 139, 132, 13, 105, 106
2018/12/29, 209, 133, 13, 105, 105
2018/12/30, 210, , , , 
2018/7/1, 24, 29, 41, 36, 34
2018/7/2, 22, 23, 93, 37, 47
2018/7/3, 17, 24, 127, 37, 61
2018/7/4, 18, 19, 85, 38, 65
2018/7/5, 14, 20, 93, 38, 45
2018/7/6, 15, 29, 44, 36, 48
2018/7/7, 22, 4, 45, 37, 50
2018/7/8, 3, 4, 40, 37, 41
2018/7/9, 3, 18, 43, 37, 46
2018/7/10, 13, 24, 47, 37, 71
2018/7/11, 18, 27, 47, 28, 61
2018/7/12, 20, 26, 38, 24, 52
2018/7/13, 19, 26, 38, 24, 53
