date, pm25, pm10, o3, no2, so2, co
2019/1/14, 336, 254, 35, 39, 8, 2
2019/1/15, 281, 203, 36, 21, 11, 22
2019/1/16, 244, 319, 32, 21, 17, 10
2019/1/17, 300, 335, 33, 27, 11, 11
2019/1/18, 324, 396, 28, 27, 11, 13
2019/1/19, 360, 374, 28, 23, 10, 11
2019/1/20, 354, 413, 29, 20, 10, 14
2019/1/21, 356, 435, 30, 40, 11, 13
2019/1/22, 382, 441, 28, 25, 7, 17
2019/1/23, 372, 296, 26, 31, 8, 10
2019/1/24, 311, 184, 24, 35, 5, 6
2019/1/25, 243, 137, 20, 30, 6, 3
2019/1/26, 203, 130, 18, 34, 7, 3
2019/1/27, 195, 131, 13, 35, 6, 2
2019/1/28, 198, 129, 18, 36, 5, 3
2019/1/29, 187, 132, 18, 40, 7, 4
2019/1/30, 193, 184, 20, 34, 8, 6
2019/1/31, 228, 179, 19, 40, 7, 6
2019/2/1, 240, 342, 19, 32, 9, 13
2019/2/2, 325, 292, 18, 31, 7, 14
2019/2/3, 285, 229, 17, 40, 7, 11
2019/2/4, 258, 206, 16, 38, 9, 10
2019/2/5, 249, 305, 16, 48, 9, 14
2019/2/6, 291, 220, 23, 61, 9, 11
2019/2/7, 263, 204, 28, 53, 8, 9
2019/2/8, 251, 122, 20, 21, 3, 5
2019/2/9, 197, 89, 20, 30, 3, 4
2019/2/10, 158, 116, 19, 32, 5, 6
2019/2/11, 178, 149, 19, 54, 6, 7
2019/2/12, 213, 160, 20, 58, 7, 10
2019/2/13, 214, 282, 22, 71, 10, 12
2019/2/14, 275, 336, 24, 63, 9, 12
2019/2/15, 306, 160, 16, 55, 8, 8
2019/2/16, 217, 126, 19, 43, 7, 7
2019/2/17, 189, 132, 18, 46, 5, 7
2019/2/18, 198, 210, 22, 64, 9, 9
2019/2/19, 253, 130, 22, 32, 5, 6
2019/2/20, 193, 224, 25, 58, 11, 10
2019/2/21, 260, 125, 20, 41, 10, 6
2019/2/22, 186, 134, 23, 45, 8, 7
2019/2/23, 192, 199, 23, 32, 5, 6
2019/2/24, 196, 101, 15, 37, 4, 6
2019/2/25, 176, 71, 12, 22, 2, 4
2019/2/26, 150, 50, 13, 23, 1, 3
2019/2/27, 110, 55, 13, 25, 2, 4
2019/2/28, 124, 88, 23, 34, 3, 6
2019/3/1, 161, 103, 25, 36, 3, 7
2019/3/2, 178, 129, 24, 51, 5, 9
2019/3/3, 201, 130, 17, 36, 4, 6
2019/3/4, 203, 100, 17, 23, 3, 5
2019/3/5, 148, 97, 24, 21, 4, 6
2019/3/6, 169, 124, 21, 32, 4, 7
2019/3/7, 177, 123, 13, 49, 5, 8
2019/3/8, 172, 144, 13, 52, 6, 7
2019/3/9, 178, 104, 8, 25, 3, 4
2019/3/10, 166, 99, 20, 25, 2, 5
2019/3/11, 152, 122, 26, 34, 9, 4
2019/3/12, 177, 93, 24, 26, 4, 4
2019/3/13, 155, 103, 44, 29, 4, 4
2019/3/14, 173, 127, 28, 44, 9, 5
2019/3/15, 173, 88, 26, 44, 6, 4
2019/3/16, 149, 108, 29, 27, 4, 4
2019/3/17, 168, 108, 23, 53, 5, 4
2019/3/18, 141, 95, 27, 38, 7, 3
2019/3/19, 161, 100, 24, 37, 6, 4
2019/3/20, 167, 85, 33, 21, 3, 3
2019/3/21, 161, 74, 26, 20, 4, 4
2019/3/22, 149, 97, 37, 47, 6, 5
2019/3/23, 165, 117, 38, 51, 7, 6
