date, pm25, pm10, o3, no2, so2, co
2019/9/28, 93, 44, 9, 3, 2, 6
2019/9/29, 78, 57, 12, 9, 2, 8
2019/9/30, 94, 64, 10, 10, 2, 10
2019/4/1, 111, 203, 67, 26, 17, 9
2019/4/2, 206, 171, 63, 25, 17, 11
2019/4/3, 182, 203, 95, 34, 21, 14
2019/4/4, 196, 227, 109, 38, 17, 17
2019/4/5, 199, 230, 56, 26, 17, 11
2019/4/6, 178, 337, 71, 25, 19, 13
2019/4/7, 249, 197, 54, 24, 9, 8
2019/4/8, 157, 188, 86, 31, 16, 12
2019/4/9, 195, 193, 52, 26, 15, 11
2019/4/10, 177, 149, 49, 22, 12, 11
2019/4/11, 151, 140, 51, 13, 10, 6
2019/4/12, 137, 139, 44, 14, 10, 9
2019/4/13, 130, 111, 39, 9, 9, 6
2019/4/14, 129, 132, 38, 16, 14, 11
2019/4/15, 123, 163, 33, 13, 6, 7
2019/4/16, 109, 55, 36, 13, 5, 5
2019/4/17, 73, 69, 59, 12, 7, 5
2019/4/18, 112, 103, 49, 17, 12, 6
2019/4/19, 148, 171, 78, 26, 19, 12
2019/4/20, 194, 230, 64, 28, 13, 14
2019/4/21, 198, 185, 77, 27, 17, 12
2019/4/22, 186, 281, 79, 33, 15, 15
2019/4/23, 195, 174, 90, 32, 10, 10
2019/4/24, 161, 178, 98, 19, 9, 14
2019/4/25, 166, 165, 67, 24, 15, 8
2019/4/26, 156, 211, 50, 15, 12, 6
2019/4/27, 148, 192, 49, 15, 10, 6
2019/4/28, 147, 217, 62, 24, 12, 9
2019/4/29, 161, 197, 16, 39, 19, 13
2019/4/30, 174, 227, 48, 33, 14, 17
2019/5/1, 181, 224, 60, 18, 11, 5
2019/5/2, 158, 90, 75, 18, 9, 6
2019/5/3, 126, 129, 65, 20, 12, 5
2019/5/4, 159, 235, 72, 29, 18, 9
2019/5/5, 223, 281, 80, 33, 16, 14
2019/5/6, 226, 370, 41, 39, 13, 18
2019/5/7, 237, 379, 52, 30, 16, 16
2019/5/8, 256, 306, 70, 32, 16, 15
2019/5/9, 197, 271, 49, 22, 10, 12
2019/5/10, 190, 179, 66, 17, 13, 8
2019/5/11, 188, 460, 74, 20, 12, 9
2019/5/12, 256, 301, 97, 25, 22, 10
2019/5/13, 265, 85, 59, 19, 7, 6
2019/5/14, 151, 124, 37, 35, 13, 15
2019/5/15, 172, 139, 43, 32, 11, 12
2019/5/16, 158, 331, 42, 24, 7, 11
2019/5/17, 172, 72, 42, 14, 6, 4
2019/5/18, 127, 107, 81, 18, 14, 6
2019/5/19, 178, 145, 67, 27, 12, 10
2019/5/20, 180, 130, 75, 21, 15, 8
